time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12
0.0,0.8179686307617635,0.7881627669389624,0.8731707350609744,0.836634936261899,0.6249998281250645,0.8079758220090667,0.8671874248047158,0.8164740063222476,0.8546873044922608,0.8119818830067939,0.8422683091493841,0.7913280157519941
500.0,0.8179686307617635,0.7881627669389624,0.8731707350609744,0.836634936261899,0.6249998281250645,0.8079758220090667,0.8671874248047158,0.8164740063222476,0.8546873044922608,0.8119818830067939,0.8414776844458683,0.7904686410742596
1000.0,0.8179686307617635,0.7881627669389624,0.8731707350609744,0.836634936261899,0.6249998281250645,0.8079758220090667,0.8664064250975906,0.8164740063222476,0.8546873044922608,0.8119818830067939,0.8414776844458683,0.7904686410742596
1500.0,0.8179686307617635,0.7881627669389624,0.8731707350609744,0.836634936261899,0.6242188284179394,0.8079758220090667,0.8664064250975906,0.8164740063222476,0.8546873044922608,0.8119818830067939,0.8414776844458683,0.7904686410742596
2000.0,0.8179686307617635,0.7881627669389624,0.8739799222575292,0.836634936261899,0.6249998281250645,0.8079758220090667,0.8671874248047158,0.8164740063222476,0.8539063047851357,0.8119818830067939,0.8406877472420948,0.7904686410742596
2500.0,0.8171876310546384,0.7872923922653529,0.8731707350609744,0.836634936261899,0.6242188284179394,0.8079758220090667,0.8671874248047158,0.8164740063222476,0.8546873044922608,0.8119818830067939,0.8414776844458683,0.7904686410742596
3000.0,0.8179686307617635,0.7872923922653529,0.8723622353641617,0.836634936261899,0.6242188284179394,0.8079758220090667,0.8656247378907234,0.8164740063222476,0.8546873044922608,0.8119818830067939,0.8406877472420948,0.7904686410742596
3500.0,0.8171876310546384,0.7872923922653529,0.8723622353641617,0.836634936261899,0.6242188284179394,0.8079758220090667,0.8664064250975906,0.8164740063222476,0.8546873044922608,0.8119818830067939,0.8406877472420948,0.7904686410742596
4000.0,0.8179686307617635,0.7872923922653529,0.8723622353641617,0.836634936261899,0.6242188284179394,0.8079758220090667,0.8671874248047158,0.8164740063222476,0.855468304199386,0.8119818830067939,0.8406877472420948,0.7904686410742596
4500.0,0.8171876310546384,0.7872923922653529,0.871553048167607,0.836634936261899,0.6234371412110721,0.8079758220090667,0.8664064250975906,0.8164740063222476,0.8546873044922608,0.8119818830067939,0.8406877472420948,0.7904686410742596
5000.0,0.8171876310546384,0.7872923922653529,0.871553048167607,0.836634936261899,0.6242188284179394,0.8079758220090667,0.8664064250975906,0.8164740063222476,0.855468304199386,0.8119818830067939,0.8406877472420948,0.7904686410742596
5500.0,0.8171876310546384,0.7872923922653529,0.8707445484707944,0.836634936261899,0.6234371412110721,0.8079758220090667,0.8656247378907234,0.8164740063222476,0.8546873044922608,0.8119818830067939,0.8398978100383212,0.7904686410742596
6000.0,0.8171876310546384,0.7872923922653529,0.871553048167607,0.8358951865393052,0.6234371412110721,0.8079758220090667,0.8656247378907234,0.8164740063222476,0.8546873044922608,0.8119818830067939,0.8391071853348055,0.7904686410742596
6500.0,0.8171876310546384,0.7872923922653529,0.871553048167607,0.836634936261899,0.6234371412110721,0.8079758220090667,0.8664064250975906,0.8164740063222476,0.855468304199386,0.8119818830067939,0.8398978100383212,0.7904686410742596
7000.0,0.8171876310546384,0.7872923922653529,0.871553048167607,0.8358951865393052,0.622656141503947,0.8079758220090667,0.8664064250975906,0.8164740063222476,0.855468304199386,0.8119818830067939,0.8406877472420948,0.7904686410742596
7500.0,0.8171876310546384,0.7872923922653529,0.8723622353641617,0.8358951865393052,0.622656141503947,0.8079758220090667,0.8664064250975906,0.8164740063222476,0.8546873044922608,0.8119818830067939,0.8398978100383212,0.7904686410742596
8000.0,0.8171876310546384,0.7872923922653529,0.8731707350609744,0.8358951865393052,0.622656141503947,0.8079758220090667,0.8671874248047158,0.8164740063222476,0.8546873044922608,0.8119818830067939,0.8406877472420948,0.7904686410742596
8500.0,0.8171876310546384,0.7872923922653529,0.8731707350609744,0.8358951865393052,0.622656141503947,0.8079758220090667,0.8671874248047158,0.8164740063222476,0.8539063047851357,0.8119818830067939,0.8406877472420948,0.7904686410742596
9000.0,0.8171876310546384,0.7872923922653529,0.8731707350609744,0.8358951865393052,0.622656141503947,0.8079758220090667,0.8679684245118409,0.8164740063222476,0.8539063047851357,0.8119818830067939,0.8406877472420948,0.7904686410742596
9500.0,0.8171876310546384,0.7872923922653529,0.8723622353641617,0.8358951865393052,0.622656141503947,0.8079758220090667,0.8671874248047158,0.8164740063222476,0.8539063047851357,0.8119818830067939,0.8398978100383212,0.7904686410742596
10000.0,0.8171876310546384,0.7872923922653529,0.8723622353641617,0.8358951865393052,0.622656141503947,0.8079758220090667,0.8679684245118409,0.8164740063222476,0.8539063047851357,0.8119818830067939,0.8398978100383212,0.7904686410742596
10500.0,0.8171876310546384,0.7872923922653529,0.8723622353641617,0.8358951865393052,0.622656141503947,0.8079758220090667,0.8671874248047158,0.8164740063222476,0.8546873044922608,0.8119818830067939,0.8398978100383212,0.7904686410742596
11000.0,0.8171876310546384,0.7872923922653529,0.8731707350609744,0.8358951865393052,0.622656141503947,0.8079758220090667,0.8671874248047158,0.8164740063222476,0.8546873044922608,0.8119818830067939,0.8398978100383212,0.7904686410742596
11500.0,0.8171876310546384,0.7872923922653529,0.8723622353641617,0.8358951865393052,0.6218751417968219,0.8079758220090667,0.8671874248047158,0.8164740063222476,0.855468304199386,0.8119818830067939,0.8391071853348055,0.7904686410742596
12000.0,0.8171876310546384,0.7872923922653529,0.8723622353641617,0.8358951865393052,0.622656141503947,0.8079758220090667,0.8671874248047158,0.8164740063222476,0.855468304199386,0.8119818830067939,0.8398978100383212,0.7904686410742596
12500.0,0.8171876310546384,0.7872923922653529,0.8723622353641617,0.8358951865393052,0.622656141503947,0.8079758220090667,0.8671874248047158,0.8164740063222476,0.8546873044922608,0.8112098207963173,0.8398978100383212,0.7904686410742596
13000.0,0.8171876310546384,0.7872923922653529,0.8723622353641617,0.8358951865393052,0.6218751417968219,0.8079758220090667,0.8664064250975906,0.8164740063222476,0.8546873044922608,0.8119818830067939,0.8398978100383212,0.7904686410742596
13500.0,0.8171876310546384,0.7872923922653529,0.871553048167607,0.8358951865393052,0.6218751417968219,0.8079758220090667,0.8640620509767309,0.8157266941024898,0.8531246175782684,0.8119818830067939,0.8391071853348055,0.7896092663965252
14000.0,0.8171876310546384,0.7872923922653529,0.871553048167607,0.8358951865393052,0.6218751417968219,0.8079758220090667,0.8664064250975906,0.8157266941024898,0.8546873044922608,0.8112098207963173,0.8398978100383212,0.7896092663965252
14500.0,0.8171876310546384,0.7872923922653529,0.871553048167607,0.8358951865393052,0.6218751417968219,0.8079758220090667,0.8664064250975906,0.8157266941024898,0.8546873044922608,0.8112098207963173,0.8398978100383212,0.7896092663965252
15000.0,0.8171876310546384,0.7872923922653529,0.871553048167607,0.8358951865393052,0.6218751417968219,0.8071762598089025,0.8664064250975906,0.8157266941024898,0.8546873044922608,0.8112098207963173,0.8391071853348055,0.7896092663965252
15500.0,0.8171876310546384,0.7872923922653529,0.871553048167607,0.8358951865393052,0.6218751417968219,0.8071762598089025,0.8664064250975906,0.8157266941024898,0.8546873044922608,0.8112098207963173,0.8391071853348055,0.7896092663965252
16000.0,0.8171876310546384,0.7872923922653529,0.8723622353641617,0.8358951865393052,0.6210934545899546,0.8079758220090667,0.8664064250975906,0.8157266941024898,0.8546873044922608,0.8112098207963173,0.8391071853348055,0.7896092663965252
16500.0,0.8171876310546384,0.7872923922653529,0.871553048167607,0.8358951865393052,0.6210934545899546,0.8079758220090667,0.8664064250975906,0.8157266941024898,0.855468304199386,0.8119818830067939,0.8391071853348055,0.7896092663965252
17000.0,0.8171876310546384,0.7872923922653529,0.8707445484707944,0.8351561243164535,0.6210934545899546,0.8071762598089025,0.8656247378907234,0.8157266941024898,0.8546873044922608,0.8112098207963173,0.8391071853348055,0.7896092663965252
